tmdb_id,provider_id
582596,"81,796"
462181,356
97367,"356,97"
77931,"81,796"
134375,337
283235,"8,97,1796"
656690,"81,796"
430354,"81,796"
11045,337
58224,337
286565,337
9398,"81,796"
409617,356
796499,"81,796"
818750,"81,796"
717980,350
14168,97
11850,"356,97"
18647,"356,97,692"
684684,"356,97"
270938,701
3597,"81,796"
504172,"81,796"
809107,337
847,337
278236,97
42188,337
417830,337
14202,"356,97"
398181,97
4584,97
389015,"356,97"
173,"337,97"
10741,97
9303,356
37530,"356,97"
408266,"356,97"
730840,"81,796"
11678,97
13956,97
543540,"81,796"
270774,"97,701"
10603,337
678287,"81,796"
351460,"81,796"
293299,337
1259,337
480105,97
14136,337
17610,"81,796"
384798,"356,97"
14873,337
9778,97
335866,8
497582,"81,796"
430040,"356,97,701"
59108,356
978,97
858,97
10215,356
168530,"81,796"
303858,"8,97,1796"
50725,"81,796"
5279,"356,97"
13813,"356,97"
76025,97
11978,337
758330,97
28176,"356,97"
1492,"356,97"
8975,337
500682,"81,796"
11615,356
8051,97
9486,"81,796"
112454,97
429300,"8,356,97,1796"
30924,356
3112,97
2640,356
776835,"81,796"
12102,97
653851,"81,796"
6341,"81,796"
375262,337
238615,"356,97"
887,"356,97"
10778,356
335360,"356,97"
2539,"81,796"
8374,356
474354,"81,796"
286192,337
11416,356
410113,"81,796"
848791,"81,796"
22718,692
869612,"356,97"
7552,97
405177,"8,356,97,1796"
846433,"356,97"
10866,337
401469,97
395991,"356,97"
8452,97
820,"337,97"
2026,"356,97"
284293,"83,561,796"
547565,337
2453,356
12180,337
669671,"81,796"
19918,"356,97"
8408,356
4553,"356,97"
11587,97
404,"356,97"
8292,"81,796"
96724,97
10134,"356,97"
1125,97
631060,"81,796"
867,356
93856,"356,97"
451915,119
34723,337
431530,"81,796"
491283,"81,796"
127651,356
714669,"81,796"
10998,"81,796"
11298,356
394223,"356,97"
824,337
325789,"356,97"
254904,"356,97"
718444,"356,97"
10510,337
270487,97
876969,356
504949,8
585244,97
762968,"81,796"
857702,337
454227,"81,796"
1017335,356
262,"337,97"
436274,97
174772,97
425505,"356,701"
525661,97
404378,"8,356,97,1796"
14299,97
421,337
10083,356
9800,97
330483,"356,97"
343674,"81,796"
19403,356
37821,701
461053,"81,796"
37056,"356,97"
1574,97
22798,97
332979,"356,97"
395993,"356,97"
77016,356
11638,"337,97"
86829,97
2926,"356,97"
193610,337
464889,"81,796"
223,97
553604,"356,97"
507256,"356,97"
109091,337
121856,"8,119,337,97,701,1796"
271969,97
12262,356
1003180,"81,796"
9947,337
9390,97
774741,337
242042,"356,97"
82657,97
457799,"81,796"
8874,97
9969,337
32307,701
420814,337
145220,337
539537,97
645788,"81,796"
38050,356
318922,"8,356,97"
447200,"8,119,356,97,1796"
28981,"356,97"
445629,701
381719,97
592834,"356,97"
396371,"8,97,1796"
175574,"356,97"
9641,337
8814,356
290637,97
19959,337
1497,356
458594,"356,97"
592984,"81,796"
12476,356
269795,701
465003,"81,796"
284289,97
541134,"81,796"
649409,356
375107,97
530382,"81,796"
869112,119
285783,97
13205,337
10911,97
69,337
333596,"81,796"
7972,"83,561,796"
100241,97
71,97
184346,"81,796"
1586,"81,796"
814340,350
502425,"356,97"
59961,"81,191,796"
591538,350
7299,97
203739,"356,97"
463821,"8,97"
19972,97
263341,"81,796"
41974,356
505225,"81,796"
7452,356
535292,"83,561,796"
295693,"119,356,97"
844398,356
43266,356
1633,"356,97"
15856,692
204922,"356,97"
9397,"356,97"
12572,"356,97"
460321,"81,796"
14813,337
253344,97
10027,"356,97"
446101,356
2757,"356,97"
43539,"97,701"
13187,350
877269,337
515195,"83,561,796"
736790,"81,796"
997120,"81,796"
21316,337
9718,"81,796"
14306,"337,356,97"
760204,"356,97"
850018,"81,796"
255157,97
449406,"81,796"
109421,"356,97"
